name,lat,long,rating,numrating,size 
GoodLife Fitness Ottawa Lansdowne Park,45.3995248,-75.6867445,4.2,234,3
Free Form Fitness Glebe,45.4029315,-75.6919262,4.8,26,1
Trueform Health and Fitness,45.4029109,-75.7175431,4.6,25,1
Elgin Fitness,45.4186823,-75.6905983,4.6,46,2
Anytime Fitness,45.4274064,-75.6908182,4.3,83,2
GoodLife Fitness Ottawa Queen and Bank,45.4047527,-75.7311586,3.9,387,3
Anytime Fitness,45.4084956,-75.7035447,5,25,0
Greco Fitness,45.4219012,-75.7080552,4.1,31,0
Greco Fitness,45.3993992,-75.7178364,4.2,18,0
Carleton Athletics,45.3911373,-75.7019588,4.1,131,3
Anytime Fitness,45.3983476,-75.7136844,4.6,93,1
Premium Performance Fitness Centre,45.4036646,-75.7247363,5,22,2
Free Form Fitness Wellington West,45.4003121,-75.7300609,4.9,21,1
Downtown YMCA-YWCA,45.4202325,-75.7002374,3.8,83,2
GoodLife Fitness Ottawa Rideau Centre,45.4239153,-75.6978838,3.2,183,3
Confederation Heights Fitness Centre,45.3740542,-75.6908057,4.3,4,0
FRST Fitness,45.3830342,-75.6726004,5,14,1
Anytime Fitness,45.3760639,-75.7581393,4.1,87,2
GoodLife Fitness Ottawa Baseline and Woodroffe,45.3649182,-75.7846506,3.5,20,1
Movati Athletic,45.3536445,-75.7327383,3.3,228,2
Planet Fitness,45.3463573,-75.7326143,4.2,302,3
Lifestyle Centre,45.3769629,-75.7494239,4.2,21,1
Anytime Fitness,45.4387909,-75.6779702,3.6,63,2
Minto Sports Complex Fitness Centre,45.4225368,-75.6819007,4,207,3
Movati Athletic,45.4123407,-75.6403913,3.3,267,3
GoodLife Fitness Ottawa St. Laurent Centre,45.4221437,-75.6395016,4,176,3
New Body Dimensions,45.4212078,-75.6641378,4.8,42,3
GoodLife Fitness Ottawa Herongate Square,45.3972342,-75.6618196,4.1,400,3
Point One,45.4075266,-75.6353176,5,36,1
EPIC Fitness + Lifestyle,45.4437265,-75.6703528,4.6,46,1
bodiesbyphil,45.4196481,-75.7012161,4.9,43,1
Anytime Fitness,45.3985431,-75.7379938,4.6,101,0
